Answer,BaseQuestion,ObfuscatedQuest_l1,ObfuscatedQuest_l2
Brother ,"Pointing towards a boy V said He is the son of only son of my grandfather ,How is that boy related to V?","Pointing towards a boy V said He is the son of only son of my father's father, How is that boy related to V?","Pointing towards a boy V said He is the son of only son of my greatgrandfather's only grandson ,How is that boy related to V?"
Grandson,"S is mother of T, T is husband of J, N is son of J, Z is fatherInlaw of J, K is brother of N, How K is related to Z?","S is mother of T, T is husband of J, N is son of J, Z is fatherInlaw of J, K is sisterinlaw's husband of N, How K is related to Z?","S is mother of T, T is husband of J, N is son of J, Z is fatherInlaw of J, K is greatgrandfather's only grandson's daughterinlaw's husband of N ,How K is related to Z?"
Father-in-law,"Sohan said to Mohan, This girls is the wife of the grandson of my mother, How is Sohan related to this girl?","Sohan said to Mohan, This girl is the wife of the son of  son of my mother ,How is Sohan related to this girl?","Sohan said to Mohan, This girls is the wife of the grandson of my greatgrandfather's only grandson's wife ,How is Sohan related to this girl?"
Grand Daughter,"If N says, P's father O is the only son of my fatherinlaw C, then how is R, who is the sister of P, related to C","If N says, P's father O is the only son of my grandfather C, then how is R, who is the sister of P, related to C","If N says, P's greatgrandfather's only grandson O is the only son of my fatherinlaw C, then how is R, who is the sister of P, related to C?"
Sister,"Pointing to a lady, S said, She is the daughter of the only child of my grandmother, How is the lady related to S?","Pointing to a lady, S said, She is the mother's granddaughter of the only child of my grandmother, How is the lady related to S?","Pointing to a lady, S said, She is the daughter of the only child of my greatgrandfather's only daughter inlaw, How is the lady related to S"
Nephew ,"Pointing to Kalyan, Shreya said, His mother's brother is the father of my son Manish, How is Kalyan related to Shreya?","Pointing to Kalyan, Shreya said, His mothers brother is the father of my Fatherinlaw's grandson Manish ,How is Kalyan related to Shreya","Pointing to Kalyan, Shreya said, His mothers brother is the greatgrandfather's only grandson of my son Manish, How is Kalyan related to Shreya"
Brother-in-law,"When Anup saw Sandeep, he recalled, He is the son of the father of my daughter's mother ,Who is Sandeep to Anup?","When Anup saw Sandeep, he recalled, He is the son of the father of my motherinlaw's granddaughter's mother ,Who is Sandeep to Anup?","When Anup saw Sandeep, he recalled, He is the son of the father of my mother's only granddaughter's mother,  Who is Sandeep to Anup"
Son,"Looking at a picture of a boy, Hemant said ,His mother is the wife of my fathers son,Brother and sister I have none. At whose picture was Hemant looking?","Looking at a picture of a boy, Hemant said, His mother is the wife of my father's  only son,At whose picture was Hemant looking","Looking at a picture of a boy, Hemant said, His mother is the wife of my grandfather's only grandson .Brothers and sisters I have none, At whose picture was Hemant looking"
Brother,"Pointing towards a boy, Veena said, He is the son of only son of my grandfather How is that boy related to Veena","Pointing towards a boy, Veena said, He is the son of only son of my father's father, How is that boy related to Veena","Pointing towards a boy, Veena said, He is the son of only son of my greatgrandfather's only son ,How is that boy related to Veena."
Niece,"Introducing R, S said, She is the only daughter of my fathers only daughter, How is S related to R","Introducing R, S said, She is the only daughter of my grandmother's only granddaughter, How is S related to R","Introducing R, S said, She is the only daughter of my greatgrandfather's  only grandson's daughter, How is S related to R?"
Mother,"Pointing to a boy, a woman said, His mother is the only daughter of my mother ,How is the woman related to the boy","Pointing to a boy, a woman said, His mother is the only  granddaughter of my mother's motherinlaw, How is the woman related to the boy.","Pointing to a boy, a woman said, His mother is the only granddaughter of my grandmother ,How is the woman related to the boy"
Grandson,"If P is the brother of the son of Q's son, how is P related to Q","If P is the sisterinlaw's husband of the son of Q's son, how is P related to Q","If P is the greatgrandfather's only grandson's daughterinlaw's husband of the son of Q's son, how is P related to Q"
Aunt,"Pointing towards Ritka, Nirdosh said, I am the only son of her mother's son ,How is Ritka related to Nirdosh?","Pointing towards Ritka, Nirdosh said, I am the only son of her father's wife's son, How is Ritka related to Nirdosh?","Pointing towards Ritka, Nirdosh said, I am the only son of her grandmother's grandson ,How is Ritka related to Nirdosh"
Son,"Pointing to a boy on the stage, Aashi said, He is the brother of the daughter of the wife of my husband ,How is the boy on the stage related to Aashi","Pointing to a boy on the stage, Aashi said, He is the sisterinlaw's husband of the daughter of the wife of my husband ,How is the boy on the stage related to Aashi?","Pointing to a boy on the stage, Aashi said, He is the greatgrandfather's only grandson's daughterinlaw's husband's of the daughter of the wife of my husband ,How is the boy on the stage related to Aashi."
Cousin,"A girl introduces a boy as the son of the brother of her mother ,How is the boy related to the girl?","A girl introduces a boy as the son of the brother of her father's wife, How is the boy related to the girl","A girl introduces a boy as the son of the greatgrandfather's only grandson's daughterinlaw's husband of her mother ,How is the boy related to the girl"
Niece,"Pointing to a man in a picture, Aisha said, His mother's only daughter is my mother, How is Aisha related to that man?","Pointing to a man in a picture, Aisha said, His mother's only daughter is my Grandfather's only daughter inlaw, How is Aisha related to that man?","Pointing to a man in a picture, Aisha said, His mother's only daughter is my greatgrandfather's only grandson's wife, How is Aisha related to that man"
Mother-in-law,"Pointing towards a girl in the photograph, Pooja said She is the mother of Jyoti whose father is my son, How is Pooja related to the girl in the photograph.","Pointing towards a girl in the photograph, Pooja said She is the mother of Jyoti whose father is my father's grandson, How is Pooja related to the girl in the photograph?","Pointing towards a girl in the photograph, Pooja said She is the only daughterinlaw of Jyoti's grandmother, whose father is my father's grandson ,How is Pooja related to the girl in the photograph?"
Aunt,"Pointing to a Woman on the Station, Maya said, She is the sister of the father of my mother's son Who is the woman to Maya?","Pointing to a Woman on the Station, Maya said, She is the sister of the father of my mother's fatherinlaw's grandson, Who is the woman to Maya?","Pointing to a Woman on the Station, Maya said, She is the greatgrandfather's only son's daughter's of my mother's son , Who is the woman to Maya?"
Cousin,"Pointing out a man receiving the prize, Malaika said, He is the brother of my uncle's daughter, Who is the man to Malaika?","Pointing out a man receiving the prize, Malaika said, He is the sisterinlaw's husband of my uncle's daughter Who is the man to Malaika?","Pointing out a man receiving the prize, Malaika said, He is the brother of my greatgrandfather's only grand daughter inlaw's brother inlaws daughter, Who is the man to Malaika?"
Grandmother,"Pointing to a girl in the picture, Salman said, Her mother's brother is the only son of my mother's father, How is the girl's mother's mother related to Salman?","Pointing to a girl in the picture, Salman said, Her mother's brother is the only son of my grandfather, How is the girls mother's mother related to Salman","Pointing to a girl in the picture, Salman said, Her mother's brother is the only son of my greatgrandfather's only daughter inlaw ,How is the girls mother's mother related to Salman?"
Daughter-in-law ,"Pointing to a picture, A said, She is the mother of my Son's wife's daughter, How is Lady related to the A","Pointing to a picture, A said, She is the mother of my Son's wife's motherinlaw's granddaughter ,How is Lady related to the A?","Pointing to a picture, A said, She is the greatgrandfather's only grandson's wife's granddaughter's mother, How is  the  Lady related toA?"
Maternal uncle,"If Amitabh says, Ritik's mother is the only daughter of my mother, how is Amitabh related to Ritik?","If Amitabh says, Ritik's father's wife is the only granddaughter of my mother's husband's father, how is Amitabh related to Ritik?","If Amitabh says, Ritik's greatgrandfather's only grandson's daughter inlaw is the only daughter of my grandmother's only daughter inlaw, how is Amitabh related to Ritik?"
Father,"Akshay told Vivek, Yesterday I defeated the only brother of the daughter of grandmother, Whom did Akshay Defeat?","Akshay told Vivek, Yesterday I defeated the only sisterinlaw's husband of the daughter of grandmother, Whom did Akshay Defeat","Akshay told Vivek, Yesterday I defeated the  greatgrandfather's only grandson's daughterinlaw's husband's daughter of  grandmother 's husband,Whom did Akshay Defeat?"
Daughter,"Introducing Asha to guests, Bhaskar said, Her father is the only son of my father, How is Asha related to Bhaskar?","Introducing Asha to guests, Bhaskar said, Her father is the only son of my grandfather's only son's wife's son,  How is Asha related to Bhaskar?","Introducing Asha to guests, Bhaskar said, Her greatgrandfather's only grandson is the only son of my greatgrand father's daughter inlaw's only son, How is Asha related to Bhaskar?"
Son,"Introducing a man, a woman said His mother is the only daughter of my father, How is the man related to the women?","Introducing a man, a woman said His mother is the only daughter of my grandfather's only son ,How is the man related to the women?","Introducing a man, a woman said His drand mother's only son's wife  is the only granddaughter of my grandfather, How is the man related to the women"
Brother-in-law,"B is father of Q, B has only two children, Q is the brother of R, R is the daughter of P, A is the granddaughter of P, S is the father of A, How is S related to Q?","B is father of Q ,B has only two children ,Q is the sisterinlaw's husband of R, R is the daughter of P, A is the granddaughter of P, S is the father of A, How is S related to Q?","B is father of Q ,B has only two children, Q is the greatgrandfather's only grandson's daughter's brother of R, R is the daughter of P. A is the granddaughter of P, S is the father of A. How is S related to Q?"
Grandson,"Abhishek is son of Amitabh's father's sister, Prakash is son of Teji who is mother of Vikash and grandmother of Amitabh, Harivansh is father of Neela and grandfather of Abhishek, Teji is wife of Harivansh,How is Abhishek related to Teji??","Abhishek is son of Amitabhs father's sister Prakash is son of Teji who is mother of Vikash and grandmother of Amitabh Harivansh is grandfather's only son of Neela and grandfather of Abhishek ,Teji is wife of Harivansh,How is Abhishek related to Teji??","Abhishek is son of Amitabh's father's sister Prakash is son of Teji who is mother of Vikash and greatgrandfather's only grandson's wife of Amitabh,Harivansh is father of Neela and grandfather of Abhishek, Teji is wife of Harivansh.How is Abhishek related to Teji ?"
Granddaughter,"B and C are siblings. M has two children and he is son of E, who is fatherinlaw of H, H has only one son, C is not granddaughter of E ,How is B related to E?","B and C are siblings, M has two children and he is son of E, who is fatherinlaw of H, H has only one son ,C is not mother's granddaughter of M, How is B related to E","B and C are siblings , M has two children and he is son of E, who is fatherinlaw of H , H has only one son, C is not  M's greatgarndfather's only son's  granddaughter ,How is B related to E?"
Father ,"B is grandson of E, who is not mother of P, D is wife of P, who is father of B ,C is mother of S, who is brother of P ,How is E related to S?","B is son's son of E, who is not mother of P ,D is wife of P, who is father of B, C is wife of the  father of S, who is brother of P ,How is E related to S?","B is grandson of E, who is not mother of P ,D is wife of P, who is father of B, C is mother of S, who is greatgrandfather's only grandson's daughterinlaw's husband of P, How is E related to S?"
Brother,"A, B, C, I, J and K are six family members, J is son of I, who is not the mother of J, B is brother of I, K and I are a married couple ,C is daughter of K, who is sister of A, How is J related to C?","A, B, C, I, J and K are six family members ,J is son of I, who is not the mother of J, B is sisterinlaw's husband of I, K and I are a married couple, C is granddaughter   of K's mother's husband, who is sister of A, How is J related to C?","A, B, C, I, J and K are six family members ,J is son of I, who is not the mother of J, B is greatgrandfather's only grandson's daughterinlaw's husband of I ,K and I are a married couple, C is daughter of K, who is sister of A How is J related to C"
Can't be determined,"A, B, C, I, J and K are six family members, J is son of I, who is not the mother of J, B is brother of I, K and I are a married couple. C is daughter of K, who is sister of A. How many female members are there in the family?","A, B, C, I, J and K are six family members J is son of I, who is not the mother of J, B is sisterinlaw's husband of I, K and I are a married couple C is daughter of K, who is sister of A How many female members are there in the family","A, B, C, I, J and K are six family members J is son of I, who is not the mother of J, B is greatgrandfather's only grandson's daughterinlaw's husband of I .K and I are a married couple, C is daughter of K, who is sister of A How many female members are there in the family"
Two,"The Anderson family consists of eight members Avery, Bret, Corey, Drew, Emerson, Riley, Ryan and Taylor ,There are generations consisting males and female members Each child has both his parents alive. Corey's brotherinlaw has daughters, Emersons soninlaw is married to Ryan, Ryan has only one sibling .Riley's fatherinlaw has granddaughters .Taylor's brother has only one nephew and Taylor is not Ryan's mother ,Corey is unmarried and Bret has only one niece How many couples are there in the family.","The Anderson family consists of eight members Avery, Bret, Corey, Drew, Emerson, Riley, Ryan and Taylor There are generations consisting males and female members. Each child has both his parents alive. Corey's sister's husband has daughters, Emersons soninlaw is married to Ryan ,Ryan has only one sibling. Riley's fatherinlaw has granddaughters Taylor's brother has only one nephew and Taylor is not Ryan's mother Corey is unmarried and Bret has only one niece How many couples are there in the family.","The Anderson family consists of eight members Avery, Bret, Corey, Drew, Emerson, Riley, Ryan and Taylor. There are generations consisting males and female members .Each child has both his parents alive .Corey's greatgrandfather's only grandson's daughter's husband has daughters, Emersons soninlaw is married to Ryan .Ryan has only one sibling Riley's fatherinlaw has granddaughters Taylor's brother has only one nephew and Taylor is not Ryan's mother, Corey is unmarried and Bret has only one niece , How many couples are there in the family."
Niece,"J is sister of T, T is married to D, D is father of R ,M is son of H ,T is motherinlaw of H, D has only one son and no daughter J is married of B, L is daughter of B,How is L related to T?","J is sister of T ,T is married to D, D is father of R ,M is son of H. T is motherinlaw of H, D has only one son and no daughter J is married of B, L is motherinlaw's granddaughter of B ,How is L related to T?","J is greatgrandfather's only grandson's daughter of T, T is married to D, D is father of R ,M is son of H, T is motherinlaw of H, D has only one son and no daughter, J is married of B, L is daughter of B ,How is L related to T?"
Grandson,"J is sister of T, T is married to D ,D is father of R, M is son of H ,T is motherinlaw of H, D has only one son and no daughter. J is married of B, L is daughter of B ,How is M related to D?","J is sister of T, T is married to D, D is grandfather's only son of R, M is son of H, T is motherinlaw of H ,D has only one son and no daughter ,J is married of B, L is daughter of B ,How is M related to D?","J is sister of T ,T is married to D, D is father of R, M is father's grandson of H, T is motherinlaw of H, D has only one son and no daughter ,J is married of B, L is greatgrandmother's daughterinlaw's granddaughter of B ,How is M related to D?"
Aunt,"J is sister of T, T is married to D, D is father of R ,M is son of H, T is motherinlaw of H, D has only one son and no daughter. J is married of B, L is daughter of B, How is J related to R?","J is sister of T ,T is married to D, D is grandfather's only son of R, M is son of H, T is motherinlaw of H ,D has only one son and no daughter. J is married of B, L is daughter of B, How is J related to R?","J is greatgrandfather's only grandson's daughter of T ,T is married to D ,D is husband of R's wife, M is son of H, T is motherinlaw of H, D has only one son and no daughter. J is married of B ,L is daughter of B How is J related to R?"
Two,"In a family there are three fathers, two brothers, two sisters, one husband, one wife, two brothersinlaw, two daughters, three sons, three cousins, two nephews, one grandfather and a niece How many female members are there in the family?","In a family there are three fathers, two brothers, two sisters, one husband, one wife, two brothersinlaw, two daughters, three sons, three cousins, two nephews, one father's father and a niece How many female members are there in the family","In a family there are three fathers, two brothers, two sisters, one husband, one wife, two brothersinlaw, two daughters, three sons, three cousins, two nephews, one greatgrandfather's only son and a niece How many female members are there in the family?"
Brother-in-law,"B is grandson of E, who is not mother of P ,D is wife of P, who is father of B, C is mother of S, who is brother of P, How is S related to D?","B is grandson of E, who is not mother of P, D is wife of P, who is father of B ,C is mother of S, who is sisterinlaw's husband of P, How is S related to D?","B is grandson of E, who is not mother of P, D is wife of P, who is father of B ,C is mother of S, who is greatgrandfather's only grandson's daughterinlaw's husband of P, How is S related to D?"
One,"In a family there are three fathers, two brothers, two sisters, one husband, one wife, two brothersinlaw, two daughters, three sons, three cousins, two nephews, one grandfather and a niece.How many aunts are there in the family?","In a family there are three fathers, two brothers, two sisters, one husband, one wife, two brothersinlaw, two daughters, three sons, three cousins, two brother's son, one grandfather and a niece,How many father's sisters are there in the family","In a family there are three fathers, two brothers, two sisters, one husband, one wife, two brothersinlaw, two daughters, three sons, three cousins, two nephews, one greatgrandfather's only son and a brother's mother granddaughter,How many aunts are there in the family?"
Aunt,"P is granddaughter of A, who is married to W, M is brotherinlaw of A, who has two daughters but no son. R is cousin of Q and brother of P. U and V are sonsinlaw of W, V has two daughters and one son. U has one son and one daughter, T and S are the daughters of X ,D is also the member of this family .How is X related to R according to the given information?","P is son's daughter of A, who is married to W, M is brotherinlaw of A, who has two daughters but no son. R is cousin of Q and mother's son of P. U and V are sonsinlaw of W. V has two daughters and one son. U has one son and one daughter ,T and S are the daughters of X ,D is also the member of this family, How is X related to R according to the given information?","P is greatgrandmother's only grandson's son's mother's granddaughter. of A who is married to W, M is brotherinlaw of A, who has two daughters but no son. R is son's of Q's uncle and brother of P, U and V are sonsinlaw of W. V has two daughters and one son. U has one son and one daughter. T and S are the daughters of X ,D is also the member of this family How is X related to R according to the given information."
Granddaughter,"P is granddaughter of A, who is married to W ,M is brotherinlaw of A, who has two daughters but no son, R is cousin of Q and brother of P, U and V are sonsinlaw of W, V has two daughters and one son U has one son and one daughter T and S are the daughters of X D is also the member of this family How is T related to W according to the given information","P is daughterinlaw's granddaughter of A's father, who is married to W M is brotherinlaw of A, who has two daughters but no son R is cousin of Q and brother of P U and V are sonsinlaw of W V has two daughters and one son U has one son and one daughter T and S are the daughters of X D is also the member of this family How is T related to W according to the given information","P is son's daughter of A, who is married to W. M is brotherinlaw of A, who has two daughters but no son. R is cousin of Q and nephew of P's only uncle, U and V are husbands of W's daughter. V has two daughters and one son U has one son and one daughter T and S are the daughters of X D is also the member of this family How is T related to W according to the given information."
Sister-in-law,"P is granddaughter of A, who is married to W M is brotherinlaw of A, who has two daughters but no son R is cousin of Q and brother of P U and V are sonsinlaw of W V has two daughters and one son U has one son and one daughter T and S are the daughters of X D is also the member of this familyHow is D related to V?","P is son's daughter of A, who is married to W M is brotherinlaw of A, who has two daughters but no son R is cousin of Q and brother of P U and V are sonsinlaw of W V has two daughters and one son U has one son and one daughter T and S are the daughters of X D is also the member of this familyHow is D related to V","P is son's daughter of A, who's child one parent W M is brotherinlaw of A, who has two daughters but no son R is cousin of Q and brother of P U and V are sonsinlaw of W V has two daughters and one son U has one son and one daughter T and S are the daughters of X D is also the member of this familyHow is D related to V."
Can't be determined,"If A is the brother of B B is the sister of C and C is the father of D, how D is related to A?","If A is the sisterinlaw's husband of B B is the sister of C and C is the father of D, how D is related to A","If A is the greatgrandfather's only grandson's daughterinlaw's brotherinlaw's only brother of B, B is the sister of C and C is the father of D, how D is related to A?"
Brother,"Introducing a boy, a girl said, He is the son of the daughter of the father of my uncle, How is the boy related to the girl","Introducing a boy, a girl said, He is the son of the daughter of the father of my mother's brotherinlaw, How is the boy related to the girl?","Introducing a boy, a girl said, He is the son of the daughter of the father of my greatgrandfather's only grand daughter inlaw's brother inlaw ,How is the boy related to the girl?"
Brother,"Pointing to a photograph Lata says, He is the son of the only son of my grandfather, How is the man in the photograph related to Lata?","Pointing to a photograph Lata says, He is the son of the only son of my mother's fatherinlaw, How is the man in the photograph related to Lata?","Pointing to a photograph Lata says, He is the son of the only son of my greatgrandfather's only son, How is the man in the photograph related to Lata?"
Maternal Uncle,"Pointing to a photograph Bajpai said, He is the son of the only daughter of the father of my brother, How Bajpai is related to the man in the photograph?","Pointing to a photograph Bajpai said, He is the son of the only daughter of the father of my grandfather's only son's daughter's father, How Bajpai is related to the man in the photograph?","Pointing to a photograph Bajpai said, He is the son of the only daughter of the father of my greatgrandfather's only grandson's son's sisterinlaw's husband .How Bajpai is related to the man in the photograph?"
